,JusticeName,Round,forest_initial_train_score,forest_initial_test_score,forest_initial_train_log_loss,forest_initial_test_log_loss,forest_initial_train_roc_auc,forest_initial_test_roc_auc,forest_best_score,forest_best_max_depth,forest_best_n_estimators,forest_tuned_train_score,forest_tuned_test_score,forest_tuned_train_log_loss,forest_tuned_test_log_loss,forest_tuned_train_roc_auc,forest_tuned_test_roc_auc,adaboost_initial_train_score,adaboost_initial_test_score,adaboost_initial_train_log_loss,adaboost_initial_test_log_loss,adaboost_initial_train_roc_auc,adaboost_initial_test_roc_auc,adaboost_best_score,adaboost_best_learning_rate,adaboost_best_n_estimators,adaboost_tuned_train_score,adaboost_tuned_test_score,adaboost_tuned_train_log_loss,adaboost_tuned_test_log_loss,adaboost_tuned_train_roc_auc,adaboost_tuned_test_roc_auc,svm_model_best_score,svm_model_best_c,svm_model_best_kernel,svm_model_tuned_train_score,svm_model_tuned_test_score,svm_model_tuned_train_log_loss,svm_model_tuned_test_log_loss,svm_model_tuned_train_roc_auc,svm_model_tuned_test_roc_auc
0,HHBurton,1,0.8085742771684945,0.5462962962962963,0.5414132939992871,0.6766948311976186,0.9770654614775683,0.6313111995104039,0.5942173479561316,15,50,0.7826520438683948,0.5740740740740741,0.5442001845495679,0.678868268731947,0.969961146383625,0.6083805079559363,0.6879361914257228,0.6018518518518519,0.6642859075076042,0.6803434790890344,0.7589581414885538,0.6259944920440637,0.5896398902712773,0.01,600,0.6321036889332003,0.5771604938271605,0.6786214170068707,0.6870175565495926,0.7040259131811498,0.6018206854345166,0.5861550882874479,75,rbf,0.7387836490528414,0.6049382716049383,0.5989750017587091,0.6688666565325769,0.8140842339940871,0.6465345777233782
1,RHJackson,2,0.7906197654941374,0.5990338164251208,0.5226479439399834,0.6637625560726904,0.990535689309525,0.5513746044303798,0.5963149078726968,10,50,0.678391959798995,0.6135265700483091,0.580040137515803,0.6591740269319859,0.9460930579514196,0.5875692246835443,0.7236180904522613,0.6231884057971014,0.6567202220274964,0.6811683300476132,0.7918725814723298,0.5661590189873418,0.5407697448376529,0.01,100,0.6130653266331658,0.6280193236714976,0.6613353465792192,0.6670255263547871,0.6179775280898877,0.5509790348101266,0.5746973416230783,5,linear,0.8710217755443886,0.5990338164251208,0.6470538958154887,0.6602030444109808,0.8996456711268589,0.5882614715189872
2,WODouglas,3,0.8347826086956521,0.8035902851108765,0.36149473738032234,0.45405510426039686,0.9469460606135792,0.7286039779495277,0.7840579710144927,5,50,0.7840579710144927,0.7983104540654699,0.47249576721096376,0.47420549907119464,0.8060266223374561,0.7225234771046289,0.816304347826087,0.795142555438226,0.6557904299533384,0.6656282082875884,0.8126946122641393,0.7300894761627748,0.5986924536962375,0.001,600,0.7840579710144927,0.7983104540654699,0.508192159990507,0.5012279573845939,0.6671459607487997,0.6225518712429706,0.5746752843975239,1,rbf,0.7840579710144927,0.7983104540654699,0.4765433824844877,0.48120336837352323,0.8441179024674663,0.701889249009668
3,FFrankfurter,4,0.8508500772797527,0.5971896955503513,0.5425920073270801,0.6670810263131506,0.9498543297244283,0.6521066491112575,0.5865533230293664,15,250,0.8686244204018547,0.6182669789227166,0.5420274608310527,0.6652590129151649,0.9566666987173323,0.6645271011630458,0.6676970633693973,0.6159250585480094,0.6763984435329227,0.6896378458142756,0.748871415934309,0.6392253675663814,0.585112961075229,0.001,600,0.5633693972179289,0.522248243559719,0.678688549413392,0.6897084330223753,0.5944044345301052,0.544810182137371,0.5989867477330344,75,rbf,0.7272024729520865,0.6159250585480094,0.6005128489238925,0.6684144755740974,0.8114182900328841,0.6359995611147685
4,SFReed,5,0.8897058823529411,0.6133828996282528,0.5230757641487833,0.6682086893568854,0.9838381939052795,0.63524453809471,0.5514705882352942,15,500,0.8860294117647058,0.5836431226765799,0.51883001925421,0.6691771198626908,0.9920752862965838,0.6346900299434401,0.6924019607843137,0.620817843866171,0.6585178098431302,0.6780567798605608,0.7746839819487576,0.6568703559942333,0.5502717391304347,0.1,600,0.7904411764705882,0.6394052044609665,0.6813383348355975,0.6877153654994406,0.8953258443322981,0.6641066873683042,0.5995365877329193,50,rbf,0.7316176470588235,0.6059479553903345,0.5892713522153618,0.650177512654929,0.8146684539984472,0.6705944327381613
5,HLBlack,6,0.8006756756756757,0.7586206896551724,0.42997286537233614,0.5118575320140919,0.9441199643968302,0.7479697731274897,0.7267736486486487,5,50,0.7280405405405406,0.7445721583652618,0.5424499330024151,0.5437656402023585,0.7820381470217304,0.7074122514574892,0.7884290540540541,0.7662835249042146,0.6640899810762727,0.6679916470715279,0.7974742544802,0.7319502145629243,0.455904307081811,0.1,100,0.7571790540540541,0.7675606641123882,0.6550592284719724,0.6568093257738021,0.7556055720932817,0.7148877605101639,0.5316520098129753,50,rbf,0.7930743243243243,0.7662835249042146,0.44791149826714943,0.5030889651196463,0.8320519956867458,0.7242481749328956
6,WBRutledge,7,0.8884758364312267,0.7474747474747475,0.2765861884935195,0.5697336816836236,0.9992679919864386,0.6006322444678609,0.7657992565055762,5,50,0.7657992565055762,0.7373737373737373,0.45438351949365785,0.5737855732420282,0.9564262598243181,0.5974710221285564,0.9070631970260223,0.6868686868686869,0.582456030562076,0.6630488759293808,0.9597010325165665,0.5948366701791359,0.6759314706723409,0.01,300,0.7769516728624535,0.7373737373737373,0.5529537532584453,0.5946271742815163,0.8311373092926491,0.6051106427818757,0.619612609127151,5,rbf,0.7657992565055762,0.7373737373737373,0.42525676504495863,0.5870140976602299,0.8977115117891817,0.5489989462592202
7,FMurphy,8,0.9283018867924528,0.6666666666666666,0.24201355442006445,0.6613383316243461,0.997863978127136,0.6411910669975187,0.7886792452830189,5,50,0.7886792452830189,0.6770833333333334,0.4215248424860854,0.652906112180189,0.9527511961722489,0.6238213399503723,0.909433962264151,0.6458333333333334,0.6020573236265333,0.637378695098758,0.967746069719754,0.709181141439206,0.6744565153607517,0.1,100,0.8679245283018868,0.6875,0.5979207163578962,0.6314186642751415,0.9252819548872181,0.6838709677419355,0.6780931777371791,100,rbf,0.8679245283018868,0.65625,0.3981639903769077,0.6346083097340781,0.9404477101845523,0.6789081885856081
8,FMVinson,9,0.9071428571428571,0.5594059405940595,0.492003788447867,0.6852960321857988,0.99110354697714,0.5581039755351681,0.5857142857142857,5,50,0.6303571428571428,0.5693069306930693,0.6391169619825509,0.6829392400628369,0.829690944958032,0.5538620893755549,0.7321428571428571,0.6039603960396039,0.6559751189841364,0.6924285520837864,0.8221676401191351,0.608217421327809,0.5544552941298333,0.1,600,0.825,0.5792079207920792,0.677780119839913,0.6902025492388748,0.9247347180855865,0.5705336884679886,0.6019416115758282,50,rbf,0.7196428571428571,0.6089108910891089,0.5771192272383455,0.6723478596606357,0.8285563248623627,0.6036795896221762
9,TCClark,10,0.8585485854858549,0.6363636363636364,0.5368406458913974,0.6408113766223669,0.9592274939080284,0.6926807970151623,0.5977859778597786,15,250,0.8456334563345633,0.6264822134387352,0.5380038736995906,0.641471729221478,0.9645426726844046,0.6982853060252441,0.7023370233702337,0.6225296442687747,0.6731084117839975,0.68499283602231,0.7844414919896083,0.674636818290069,0.606555672676776,0.1,600,0.7466174661746617,0.6383399209486166,0.6857052983207068,0.6898369736332255,0.8473921192764728,0.6724537588314679,0.6414757919628932,100,rbf,0.7798277982779828,0.6482213438735178,0.5093715502807318,0.63137050966498,0.8568405659187058,0.692410891482099
10,SMinton,11,0.9141716566866267,0.5923566878980892,0.4844129196190218,0.6723605476865929,0.9924778761061946,0.6344967532467533,0.5668662674650699,15,500,0.9201596806387226,0.6114649681528662,0.48310021819376475,0.6711525378675279,0.9979324215607402,0.6174512987012987,0.7684630738522954,0.5987261146496815,0.636799987858675,0.7133547011937923,0.8561544650040225,0.6170454545454546,0.6077037142247883,0.1,300,0.8223552894211577,0.6050955414012739,0.669597069952155,0.691813999740617,0.9134030571198712,0.5892857142857143,0.6393369316466452,1,linear,0.872255489021956,0.6369426751592356,0.5166433898132904,0.6483975184130409,0.9284553499597747,0.6773538961038962
11,EWarren,12,0.8139825218476904,0.7771084337349398,0.3950764490662901,0.4953314606977914,0.9543566225509462,0.73932963588136,0.7784019975031211,25,500,0.8938826466916354,0.7751004016064257,0.2842182556597283,0.4752809967212541,0.9954659031436269,0.7652629502159283,0.7983770287141073,0.7811244979919679,0.6551656749859698,0.6598805165940714,0.8185526323827987,0.7198960913694455,0.659652706866894,0.01,300,0.7734082397003745,0.785140562248996,0.6019966778310863,0.597989643943007,0.7227266895696426,0.6791218186202513,0.6546253019130844,100,rbf,0.8121098626716604,0.7771084337349398,0.42165077715613525,0.49913274025573773,0.8720983511079161,0.7235679680820747
