,JusticeName,Round,forest_initial_train_score,forest_initial_test_score,forest_initial_train_log_loss,forest_initial_test_log_loss,forest_initial_train_roc_auc,forest_initial_test_roc_auc,forest_best_score,forest_best_max_depth,forest_best_n_estimators,forest_tuned_train_score,forest_tuned_test_score,forest_tuned_train_log_loss,forest_tuned_test_log_loss,forest_tuned_train_roc_auc,forest_tuned_test_roc_auc,adaboost_initial_train_score,adaboost_initial_test_score,adaboost_initial_train_log_loss,adaboost_initial_test_log_loss,adaboost_initial_train_roc_auc,adaboost_initial_test_roc_auc,adaboost_best_score,adaboost_best_learning_rate,adaboost_best_n_estimators,adaboost_tuned_train_score,adaboost_tuned_test_score,adaboost_tuned_train_log_loss,adaboost_tuned_test_log_loss,adaboost_tuned_train_roc_auc,adaboost_tuned_test_roc_auc,svm_model_best_score,svm_model_best_c,svm_model_best_kernel,svm_model_tuned_train_score,svm_model_tuned_test_score,svm_model_tuned_train_log_loss,svm_model_tuned_test_log_loss,svm_model_tuned_train_roc_auc,svm_model_tuned_test_roc_auc
0,HHBurton,1,0.8085742771684945,0.5462962962962963,0.5414132939992871,0.6766948311976186,0.9770654614775683,0.6313111995104039,0.5918870686693609,25,250,0.9501495513459621,0.5771604938271605,0.4095783057624738,0.6779037438728924,0.9981037658120486,0.6229727662178703,0.6879361914257228,0.6018518518518519,0.66428590750614,0.6803434820016918,0.7589581414885538,0.6259944920440637,0.5896398902712773,0.01,600,0.6321036889332003,0.5771604938271605,0.6786214170068707,0.6870175534406664,0.7040259131811498,0.6018206854345166,0.5861550882874479,75,rbf,0.7387836490528414,0.6049382716049383,0.5989750017587091,0.6688666565325769,0.8140842339940871,0.6465345777233782
1,RHJackson,2,0.8023450586264657,0.6376811594202898,0.5176437040980081,0.6544332636441483,0.9909669448459136,0.5920193829113923,0.5532727774892967,25,50,0.9581239530988275,0.6183574879227053,0.38397080394532435,0.6656071658681688,0.9982749778544454,0.5661095727848102,0.7202680067001676,0.6183574879227053,0.6567859636497809,0.6770820033129579,0.791517087043685,0.575751582278481,0.5408632209573275,0.01,100,0.6130653266331658,0.6280193236714976,0.6613353465792192,0.6670255263547871,0.6179775280898877,0.5509790348101266,0.5746973416230783,5,linear,0.8710217755443886,0.5990338164251208,0.6470538958154887,0.6602030444109808,0.8996456711268589,0.5882614715189872
2,WODouglas,3,0.8311594202898551,0.8004223864836325,0.36026881758209994,0.45310815175952457,0.9590135716855437,0.7417483863818942,0.6191476758178368,5,500,0.7840579710144927,0.7983104540654699,0.47434368565285534,0.4782185982927323,0.8272230768276495,0.7168862018338458,0.816304347826087,0.795142555438226,0.6557904299533382,0.6656282082875884,0.8126946122641393,0.7300894761627748,0.5986924536962375,0.001,600,0.7840579710144927,0.7983104540654699,0.5081921599905072,0.5012279573845939,0.6671459607487997,0.6225518712429706,0.5746752843975239,1,rbf,0.7840579710144927,0.7983104540654699,0.4765433824844877,0.48120336837352323,0.8441179024674663,0.701889249009668
3,FFrankfurter,4,0.865533230293663,0.6018735362997658,0.5435954051207714,0.6662539022887332,0.9558854637410819,0.6608404652183455,0.6110998295043827,15,250,0.847758887171561,0.6135831381733021,0.5444452912306795,0.6643280952817241,0.9539696351993231,0.6685209567698047,0.6676970633693973,0.6159250585480094,0.6763984435329228,0.6896378458142756,0.748871415934309,0.6392253675663814,0.585112961075229,0.001,600,0.5633693972179289,0.522248243559719,0.678688549413392,0.689708433022375,0.5944044345301052,0.544810182137371,0.5989867477330344,75,rbf,0.7272024729520865,0.6159250585480094,0.6005128489238925,0.6684144755740974,0.8114182900328841,0.6359995611147685
4,SFReed,5,0.8897058823529411,0.5985130111524164,0.5215951942870188,0.671836999869823,0.9830193371506211,0.6196074082289009,0.5714407026397516,25,250,0.9730392156862745,0.587360594795539,0.39476807298130767,0.6757979608254341,0.999020404697205,0.6096262615060442,0.6924019607843137,0.620817843866171,0.6585178098431302,0.6780567798605609,0.7746839819487576,0.6568703559942333,0.5499927212732919,0.1,600,0.7904411764705882,0.6468401486988847,0.6813383412323687,0.6874890717739057,0.8953379755434783,0.6724797604524786,0.5995365877329193,50,rbf,0.7316176470588235,0.6059479553903345,0.5892713522153618,0.650177512654929,0.8146684539984472,0.6705944327381613
5,HLBlack,6,0.8040540540540541,0.7509578544061303,0.4305990299458313,0.5128053852982066,0.9419525810953622,0.7411738558068762,0.5399532179525981,10,50,0.7567567567567568,0.7496807151979565,0.4923516234150644,0.5310295823589563,0.8712634374627453,0.7186404746029305,0.7884290540540541,0.7662835249042146,0.6640899810762727,0.6679916470715279,0.7974742544802,0.7319502145629243,0.455904307081811,0.1,100,0.7571790540540541,0.7675606641123882,0.6550592284719724,0.6568093257738021,0.7556055720932817,0.7148877605101639,0.5316520098129753,50,rbf,0.7930743243243243,0.7662835249042146,0.44791149826714943,0.5030889651196463,0.8320519956867458,0.7242481749328956
6,WBRutledge,7,0.8996282527881041,0.7474747474747475,0.2692942644333419,0.5682900010627044,0.9996532593619972,0.6148577449947312,0.6379788418083847,5,50,0.7657992565055762,0.7373737373737373,0.45838774376716096,0.5639360379026527,0.9412467252273078,0.6454162276080084,0.8884758364312267,0.7070707070707071,0.5779962372321756,0.6683693621536287,0.9605486207427955,0.5308219178082192,0.6759314706723409,0.01,300,0.7769516728624535,0.7373737373737373,0.5529537532584453,0.5946271742815163,0.8311373092926491,0.6051106427818757,0.619612609127151,5,rbf,0.7657992565055762,0.7373737373737373,0.42525676504495863,0.5870140976602299,0.8977115117891817,0.5489989462592202
7,FMurphy,8,0.9207547169811321,0.6979166666666666,0.24573713138119851,0.6594377079230158,0.9984620642515379,0.6372208436724566,0.6710196620751979,5,500,0.7886792452830189,0.6770833333333334,0.4221874301933806,0.6466237724899119,0.9581339712918662,0.6387096774193548,0.9018867924528302,0.625,0.60059032117366,0.6403237601592723,0.9691558441558441,0.6694789081885856,0.6689847976871828,0.1,100,0.8679245283018868,0.6875,0.597920716357896,0.6314167084699575,0.9252819548872181,0.6838709677419355,0.6780931777371791,100,rbf,0.8679245283018868,0.65625,0.3981639903769077,0.6346083097340781,0.9404477101845523,0.6789081885856081
8,FMVinson,9,0.9017857142857143,0.5544554455445545,0.48992647384264265,0.6908698351967769,0.9884990781211723,0.543701292295551,0.6204190330918441,10,50,0.8,0.5792079207920792,0.5715506516845086,0.6803666131053736,0.9417862530460682,0.5569201933510901,0.7321428571428571,0.6039603960396039,0.6559731339048942,0.6924300948078326,0.8221805335293132,0.608217421327809,0.5600157682818973,0.1,600,0.825,0.5792079207920792,0.6777801076876182,0.6900513219658492,0.9247347180855865,0.5729999013514847,0.6019416115758282,50,rbf,0.7196428571428571,0.6089108910891089,0.5771192272383455,0.6723478596606357,0.8285563248623627,0.6036795896221762
9,TCClark,10,0.8530135301353013,0.6561264822134387,0.5348125245582916,0.6398638968893267,0.961508467954633,0.7003413511153449,0.6230261506172936,25,1000,0.9624846248462484,0.6442687747035574,0.4122384596620333,0.6267988792860084,0.9978277161528838,0.7050170675557672,0.7023370233702337,0.6225296442687747,0.6731084117839976,0.68499283602231,0.7844414919896083,0.674636818290069,0.6063622082113841,0.1,600,0.7466174661746617,0.6363636363636364,0.6857052983207068,0.6898970868439412,0.8473921192764728,0.6688656029213305,0.6414757919628932,100,rbf,0.7798277982779828,0.6482213438735178,0.5093715502807318,0.63137050966498,0.8568405659187058,0.692410891482099
